"<strong title=""%s"">%s item</strong>","<strong title=""%s"">%s шт.</strong>"
"<strong title=""%s"">%s items</strong>","<strong title=""%s"">%s шт.</strong>"
"0 item(s)","0 шт."
"Information","Информация"
"Custom tab","Пользовательские вкладки"
"Video","Видео"
"Specials","Скидка"
